iter	Logloss
0	0.6053122279
1	0.535791868
2	0.472680026
3	0.4346969514
4	0.4077567296
5	0.3859532534
6	0.3685976254
7	0.351694867
8	0.3423350108
9	0.3352444569
10	0.3279632483
11	0.3210448295
12	0.3163379338
13	0.3110262154
14	0.3049215534
15	0.300174797
16	0.297052415
17	0.2941049933
18	0.2920454083
19	0.2896224721
20	0.2877052221
21	0.2856685069
22	0.2837438279
23	0.2817466028
24	0.2790015299
25	0.2769477358
26	0.2757544882
27	0.2744293238
28	0.2730648817
29	0.2715390952
30	0.2704611969
31	0.2692224504
32	0.2680055291
33	0.2666062044
34	0.2653752402
35	0.2639566972
36	0.2627108221
37	0.2615615068
38	0.2601312508
39	0.2590975175
40	0.25759947
41	0.2563284738
42	0.2548944821
43	0.2536414064
44	0.2527943865
45	0.251640745
46	0.2501194585
47	0.2493571624
48	0.2483878148
49	0.247650292
50	0.2469054617
51	0.2464743303
52	0.2456506469
53	0.244379988
54	0.2433963406
55	0.2425394785
56	0.2417513478
57	0.240919268
58	0.2399837806
59	0.2393751466
60	0.2387996034
61	0.2379825243
62	0.2375183726
63	0.2366313634
64	0.2361138516
65	0.2355100037
66	0.2346508804
67	0.2340723801
68	0.2331832489
69	0.2324753891
70	0.2318206219
71	0.2311916418
72	0.2302313577
73	0.2290497548
74	0.2282985658
75	0.2274721337
76	0.2267702107
77	0.2256061045
78	0.2248888877
79	0.2243503062
80	0.2238446184
81	0.2234057524
82	0.2228829528
83	0.2221987071
84	0.2218383878
85	0.2212820821
86	0.220603193
87	0.2202363715
88	0.2197392126
89	0.2187920318
90	0.2179406045
91	0.2174611443
92	0.2168634344
93	0.2162045374
94	0.2157425169
95	0.2151734228
96	0.2144046956
97	0.2137665348
98	0.2126966542
99	0.2120381858
100	0.2117403693
101	0.2114113718
102	0.2106407537
103	0.2101173433
104	0.2094843285
105	0.2088609443
106	0.208385772
107	0.2076899917
108	0.2073641114
109	0.2069457534
110	0.2063872594
111	0.2055868564
112	0.205033575
113	0.2043280636
114	0.2032989652
115	0.2027549237
116	0.201753792
117	0.2010479516
118	0.2001764929
119	0.1993172391
120	0.1984373015
121	0.1976079904
122	0.196997464
123	0.196349041
124	0.1956317635
125	0.1952496598
126	0.1946356166
127	0.1941693263
128	0.193402334
129	0.1927787779
130	0.1921580044
131	0.1919007674
132	0.1914623369
133	0.1910912312
134	0.1906883717
135	0.1903309159
136	0.1898841668
137	0.1894184553
138	0.1890289865
139	0.1885730946
140	0.1879737944
141	0.1874041271
142	0.186772628
143	0.1863542669
144	0.1859508677
145	0.1852655074
146	0.1848102438
147	0.1842138445
148	0.1838399437
149	0.1835468918
150	0.1831606806
151	0.18266525
152	0.1822334763
153	0.1818260015
154	0.1814317153
155	0.1805468407
156	0.1800554563
157	0.1795854033
158	0.179036861
159	0.1787305293
160	0.1783123917
161	0.1780936959
162	0.1776504115
163	0.1770476951
164	0.1767798561
165	0.1762395996
166	0.1759335814
167	0.1754595222
168	0.1747415613
169	0.1745645809
170	0.1741167789
171	0.1734786793
172	0.1730767816
173	0.1727978609
174	0.172447795
175	0.1720234722
176	0.1714673544
177	0.1710470843
178	0.1706250181
179	0.1702782127
180	0.1698298625
181	0.1694982099
182	0.1691215896
183	0.1687687411
184	0.1684231546
185	0.1681315591
186	0.1678879692
187	0.1674305759
188	0.1671314145
189	0.1669068634
190	0.1665712277
191	0.166290329
192	0.16599405
193	0.1657706499
194	0.165502861
195	0.1650312225
196	0.164819441
197	0.1645615558
198	0.1642313193
199	0.1637976714
